"NASA instrument","Commons categories","Wikidata"
"Imaging Science Subsystem","",""
"Imaging Science Subsystem - Narrow Angle","",""
"Imaging Science Subsystem - Wide Angle","",""
"Imaging Ultraviolet Spectrograph","",""
"Imaging Ultraviolet Spectrograph (IUVS)","",""
"Impactor Targeting Sensor (ITS)","",""
"Infrared Array Camera (IRAC)","","Q28408352"
"Infrared Astronomical Satellite (IRAS)","Infrared Astronomical Satellite","Q724913"
"Infrared Coronagraph","",""
"Infrared Radiometer","",""
"Infrared Spectrograph (IRS)","",""
"Infrared Spectrometer","",""
"Infrared Spectrometer (IRS)","",""
"Infrared Telescope","",""
"Infrared Telescope Facility","Infrared Telescope Facility","Q1662664"
"Instrument Context Camera (ICC)","",""
"Instrument Deployment Camera (IDC)","",""
"Interferometric Synthetic Aperture Radar","",""
"Ion and Neutral Mass Spectrometer","",""
"Ion Engine","",""
"IRTF","Infrared Telescope Facility","Q1662664"
"ISS-RapidScat","ISS-RapidScat","Q21210878"
"JERS-1 SAR","",""
"JIRAM","Jovian Infrared Auroral Mapper (JIRAM)","Q6296775"
"Jovian Auroral Distributions Experiment (JADE)","Jovian Auroral Distributions Experiment (JADE)","Q28162669"
"Jovian Infrared Auroral Mapper (JIRAM)","Jovian Infrared Auroral Mapper (JIRAM)","Q6296775"
"JunoCam","JunoCam","Q6314027"
"K-Band Ranging System","",""
"Ka-band Radar Interferometer (KaRIn)","",""
"KaRIn","",""
"Keck I Telescope","",""
"Keck Interferometer","",""
"Keck Telescope","W. M. Keck Observatory","Q210997"
"Kepler Telescope","Kepler (spacecraft)","Q47272"
"Kitt Peak National Observatory's 2.1 m Telescope","KPNO 2.1 m Telescope",""
"L-Band Radar","",""
"L-Band Synthetic Aperture Radar","",""
"L-Band UAVSAR","",""
"La Sagra Sky Survey","","Q16570631"
"Lander Vision System (LVS)","",""
"Lander Vision System Camera (LCAM)","",""
"Large Binocular Telescope Interferometer (LBTI)","",""
"Laser Rangefinder","",""
"LIDAR","",""
"Linear Etalon Infrared Spectral Imager (LEISA)","",""
"Long Range Reconnaissance Imager (LORRI)","Long-Range Reconnaissance Imager (LORRI)","Q60748723"
"Low-Energy Charged Particle Instrument","",""
"Lunar Orbit Laser Altimeter","",""
"Lunar Orbiter Laser Altimeter","",""
