"Flickr album title","Commons categories"
"HiRISE 10K","Photos of Mars by HiRISE"
"HiRISE 8K","Photos of Mars by HiRISE"
"HiRISE 4K","Photos of Mars by HiRISE"
"HiRISE Wallpaper","Photos of Mars by HiRISE"
