"Flickr album title","Commons categories"
"Cyclones","Cyclones"
"Tropical Storms","Tropical storms"
"Earth","Earth photography from the International Space Station"
"Expedition 50","ISS Expedition 50"
"Soyuz","Soyuz spacecraft"
"Ellen Ochoa","Ellen Ochoa"
"Expedition 49","ISS Expedition 49"
"STS-58 (10/1993)","STS-58"
"STS-56 (04/1993)","STS-56"
