"ESO category","Commons Category"
"Solar System","Solar System"
"Solar System : Planet","Planets of the Solar System"
"Solar System : Planet : Type : Terrestrial","Terrestrial Planet"
"Solar System : Planet : Type : Gas Giant","Jovian planets"
"Solar System : Planet : Feature : Surface","Surface features of astronomical bodies of the Solar System"
"Solar System : Planet : Feature : Surface : Mountain","Extraterrestrial mountains"
"Solar System : Planet : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Solar System : Planet : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Solar System : Planet : Feature : Surface : Impact","Impact craters"
"Solar System : Planet : Feature : Surface : Erosion","Erosion"
"Solar System : Planet : Feature : Surface : Liquid","Liquid"
"Solar System : Planet : Feature : Surface : Ice","Ice"
"Solar System : Planet : Feature : Atmosphere","Planetary atmospheres"
"Solar System : Planet : Feature : Atmosphere : Cloud","Clouds"
"Solar System : Planet : Feature : Atmosphere : Storm","Storms"
"Solar System : Planet : Feature : Atmosphere : Aurora","Polar aurora"
"Solar System : Planet : Special Cases : Transiting","Astronomical transits"
"Solar System : Planet : Special Cases : Hot Jupiter","Hot Jupiters"
"Solar System : Planet : Special Cases : Pulsar planet","Pulsar planets"
"Solar System : Planet : Satellite","Natural satellites"
"Solar System : Planet : Satellite : Feature : Surface","Surface features of moons"
"Solar System : Planet : Satellite : Feature : Surface : Mountain","Extraterrestrial mountains"
"Solar System : Planet : Satellite : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Solar System : Planet : Satellite : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Solar System : Planet : Satellite : Feature : Surface : Impact","Impact craters on moons"
"Solar System : Planet : Satellite : Feature : Surface : Erosion","Erosion"
"Solar System : Planet : Satellite : Feature : Surface : Liquid","Liquid"
"Solar System : Planet : Satellite : Feature : Surface : Ice","Ice"
"Solar System : Planet : Satellite : Feature : Atmosphere","Planetary atmospheres"
"Solar System : Planet : Ring","Planetary rings"
"Solar System : Interplanetary Body","Small Solar System bodies"
"Solar System : Interplanetary Body : Dwarf planet","Dwarf planets of the Solar System"
"Solar System : Interplanetary Body : Comet","Comets"
"Solar System : Interplanetary Body : Comet : Nucleus","Cometary nuclei"
"Solar System : Interplanetary Body : Comet : Coma","Coma (cometary)"
"Solar System : Interplanetary Body : Comet : Tail","Comet tail"
"Solar System : Interplanetary Body : Comet : Tail : Dust","Comet tail"
"Solar System : Interplanetary Body : Comet : Tail : Gas","Comet tail"
"Solar System : Interplanetary Body : Asteroid","Asteroids"
"Solar System : Interplanetary Body : Meteoroid","Meteoroids"
"Solar System : Star","Stars"
"Solar System : Star : Evolutionary Stage : Protostar","Protostars"
"Solar System : Star : Evolutionary Stage : Young Stellar Object","Young stellar objects"
"Solar System : Star : Evolutionary Stage : Main Sequence","Main sequence stars"
"Solar System : Star : Evolutionary Stage : Red Giant","Red giants"
"Solar System : Star : Evolutionary Stage : Red Supergiant","Red supergiants"
"Solar System : Star : Evolutionary Stage : Blue Supergiant","Blue supergiants"
"Solar System : Star : Evolutionary Stage : White Dwarf","White dwarfs"
"Solar System : Star : Evolutionary Stage : Supernova","Supernovae"
"Solar System : Star : Evolutionary Stage : Neutron Star","Neutron stars"
"Solar System : Star : Evolutionary Stage : Neutron Star : Pulsar","Pulsars"
"Solar System : Star : Evolutionary Stage : Neutron Star : Magnetar","Magnetars"
"Solar System : Star : Evolutionary Stage : Black Hole","Black holes"
"Solar System : Star : Type : Variable","Variable stars"
"Solar System : Star : Type : Variable : Pulsating","Pulsating variable stars"
"Solar System : Star : Type : Variable : Irregular","Variable stars"
"Solar System : Star : Type : Variable : Eclipsing","Eclipsing binary stars"
"Solar System : Star : Type : Variable : Flare Star","Flare stars"
"Solar System : Star : Type : Variable : Nova","Novae"
"Solar System : Star : Type : Variable : X-Ray Binary (Star)","Variable stars"
